"Tijdstempel","Participantnummer (bijv. Virginia-01)","Vul je mening in [Ik denk dat ik dit systeem vaak zal gebruiken]","Vul je mening in [Ik vind dit systeem onnodig complex.]","Vul je mening in [Ik vind dit systeem makkelijk te gebruiken]","Vul je mening in [Ik denk dat ik technisch support nodig heb om dit systeem te kunnen gebruiken]","Vul je mening in [Ik vind de verschillende functies van dit systeem goed geïntegreerd]","Vul je mening in [Ik vind dat er teveel inconsistentie in het systeem zit]","Vul je mening in [Ik kan me voorstellen dat de meeste mensen snel door hebben hoe ze dit systeem moeten gebruiken]","Vul je mening in [Ik vind dit systeem erg omslachtig]","Vul je mening in [Ik voel me zelfverzekerd om dit systeem te gebruiken]","Vul je mening in [Ik moet veel leren over dit systeem voordat ik het goed kan gebruiken]"
"2019/12/05 12:48:48 p.m. CET","Karen-01","2","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","2","4","2","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/07 5:05:09 p.m. CET","Karen-02","3","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","4","2","2","1 (helemaal eens)","1 (helemaal eens)","2"
"2019/12/09 10:52:04 p.m. CET","Virginia-01","3","5 (helemaal oneens)","2","5 (helemaal oneens)","3","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/09 11:00:19 p.m. CET","Virginia-02","3","5 (helemaal oneens)","2","4","2","2","1 (helemaal eens)","4","2","5 (helemaal oneens)"
"2019/12/09 11:08:01 p.m. CET","Virginia-03","5 (helemaal oneens)","5 (helemaal oneens)","3","5 (helemaal oneens)","4","1 (helemaal eens)","2","4","2","3"
"2019/12/12 4:25:00 p.m. CET","Karen-03","3","5 (helemaal oneens)","2","5 (helemaal oneens)","3","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","3","5 (helemaal oneens)"
"2019/12/13 8:29:06 p.m. CET","Jetske-01","4","2","4","5 (helemaal oneens)","2","5 (helemaal oneens)","2","3","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/13 8:48:38 p.m. CET","Jetske-02","1 (helemaal eens)","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","3","1 (helemaal eens)","5 (helemaal oneens)","2","5 (helemaal oneens)","1 (helemaal eens)"
"2019/12/13 9:00:23 p.m. CET","Jetske-03","4","3","4","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/14 12:52:28 p.m. CET","Virginia-04","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","3","4","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/14 1:03:47 p.m. CET","Virginia-05","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","2","2","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","1 (helemaal eens)"
"2019/12/14 1:10:49 p.m. CET","Virginia-06","3","4","1 (helemaal eens)","2","2","5 (helemaal oneens)","2","2","1 (helemaal eens)","5 (helemaal oneens)"
